fecha,n_outliers,horas,horas_consecutivas_max,tipo_evento,tipo_error_principal,tipos_error_dict
2025-08-10,2,"[np.int32(3), np.int32(7)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-08-12,4,"[np.int32(11), np.int32(12), np.int32(21), np.int32(22)]",3,Mixto (continuo + discontinuo),Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 2, 'Demanda Negativa': 2}"
2025-08-13,1,[np.int32(2)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-08-14,1,[np.int32(2)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-08-19,2,"[np.int32(9), np.int32(10)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-08-21,2,"[np.int32(7), np.int32(8)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-08-22,2,"[np.int32(6), np.int32(13)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 2}
2025-08-25,2,"[np.int32(10), np.int32(11)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-08-28,1,[np.int32(6)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-08-29,3,"[np.int32(4), np.int32(7), np.int32(22)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 3}
2025-09-02,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-09-03,2,"[np.int32(8), np.int32(9)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-09-06,2,"[np.int32(11), np.int32(12)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-09-07,1,[np.int32(1)],0,Aislado,Delta Volumen Extremo,{'Delta Volumen Extremo': 1}
2025-09-13,2,"[np.int32(9), np.int32(10)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-09-16,3,"[np.int32(1), np.int32(2), np.int32(4)]",2,Mixto (continuo + discontinuo),Demanda Negativa,{'Demanda Negativa': 3}
2025-09-19,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-09-25,1,[np.int32(9)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-09-29,2,"[np.int32(21), np.int32(22)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
